"anime_title","anime_premiere","anime_release","anime_nextair","anime_img","anime_badge"
"GARO - Makai Senki","10/6/2011 12:00:00 AM","8/10/2018 5:30:00 PM","","//static.hidive.com/titles/GAR/GAR_02_MASTER_300x169.jpg","Exclusive"
"Gatchaman Crowds","7/12/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GMC/GMC_MASTER_300x169.jpg","Dubbed"
"Gatchaman Crowds insight","6/20/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GMC/GMC_02_MASTER_300x169.jpg","Dubbed"
"Gatchaman Fighter","10/7/1979 12:00:00 AM","8/24/2018 12:00:00 AM","","//static.hidive.com/titles/GTM/GTM_03_MASTER_300x169.jpg",NA
"Gatchaman II","10/1/1978 12:00:00 AM","8/23/2018 5:00:00 AM","","//static.hidive.com/titles/GTM/GTM_02_MASTER_300x169.jpg",NA
"GATE","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GTE/GTE_MASTER_300x169.jpg","Dubbed"
"Get Backers","10/5/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GBK/GBK_01_MASTER_300x169.jpg","Dubbed"
"Getter Robo Arc","7/4/2021 12:00:00 AM","7/2/2021 1:00:00 PM","","//static.hidive.com/titles/GTR/getter-robo-arc_GTR_01_MASTER_300x169_01.jpg","Dubbed"
"The Girl in Twilight","10/1/2018 12:00:00 AM","9/28/2018 3:30:00 PM","","//static.hidive.com/titles/GIT/GIT_01_MASTER_300x169.jpg","Exclusive"
"Girlish Number","10/7/2016 12:00:00 AM","10/1/2016 12:00:00 AM","","//static.hidive.com/titles/GRN/GRN_01_MASTER_300x169.jpg",NA
"Girls Beyond the Wasteland","1/7/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GBY/GBY_01_MASTER_300x169.jpg",NA
"Girls' Last Tour","10/6/2017 12:00:00 AM","10/6/2017 2:00:00 PM","","//static.hidive.com/titles/GRT/GRT_01_MASTER_300x169.jpg","Dubbed"
"Girls und Panzer","10/9/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GUP/GUP_MASTER_300x169.jpg","Dubbed"
"Glass Mask","4/5/2005 12:00:00 AM","7/15/2019 4:00:00 PM","","//static.hidive.com/titles/GM/GM_01_MASTER_300x169.jpg",NA
"Glass Mask 1984","4/9/1984 12:00:00 AM","5/1/2018 5:00:00 AM","","//static.hidive.com/titles/GMK/GMK_01_MASTER_300x169.jpg",NA
"GODANNAR","10/1/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GOD/GOD_MASTER_300x169.jpg","Dubbed"
